site,ID,Year,CEC,clay,bulkdens,soil_type,SOC,pH,PS,dep,irr,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario,Cd_solu,Cd_rice,Cd_straw,crop,res_in,lea,Cd_acc
QY024,QY024,2023,209.2839037,9.303476667,1250,Calcareous,2.38168,6.69568,0.91,5.299603939,1.305510142,0.496447491,0,0.340610329,12.7021231,12.486187,0.84,0,BAU,0.049687576,0.079197572,0.228408292,1.462289088,2.39563686,0.452156942,5.187115542
QY024,QY024,2024,209.2839037,9.303476667,1250,Calcareous,2.39148,6.695592,0.91,5.299603939,1.305510142,0.496447491,0,0.342685176,12.7021231,12.486187,0.84,0,BAU,0.049731647,0.079261963,0.228593998,1.463477995,2.397584622,0.452557984,5.185525593
QY024,QY024,2025,209.2839037,9.303476667,1250,Calcareous,2.401,6.695504,0.91,5.299603939,1.305510142,0.496447491,0,0.344759386,12.7021231,12.486187,0.84,0,BAU,0.049782681,0.079336084,0.228807766,1.464846559,2.39982671,0.453022393,5.18369262
QY024,QY024,2026,209.2839037,9.303476667,1250,Calcareous,2.41024,6.695416,0.91,5.299603939,1.305510142,0.496447491,0,0.346832863,12.7021231,12.486187,0.84,0,BAU,0.049840608,0.079419835,0.229049306,1.466392913,2.40236007,0.453549532,5.181619126
QY024,QY024,2027,209.2839037,9.303476667,1250,Calcareous,2.41924,6.695328,0.91,5.299603939,1.305510142,0.496447491,0,0.348905511,12.7021231,12.486187,0.84,0,BAU,0.049904259,0.079511571,0.229313877,1.468086718,2.405134993,0.454128761,5.179346093
QY024,QY024,2028,209.2839037,9.303476667,1250,Calcareous,2.42804,6.69524,0.91,5.299603939,1.305510142,0.496447491,0,0.350977249,12.7021231,12.486187,0.84,0,BAU,0.049972485,0.079609677,0.229596816,1.469898119,2.408102572,0.454749611,5.176913842
QY024,QY024,2029,209.2839037,9.303476667,1250,Calcareous,2.43664,6.69524,0.91,5.299603939,1.305510142,0.496447491,0,0.353048015,12.7021231,12.486187,0.84,0,BAU,0.050038558,0.079708449,0.229881677,1.471721821,2.411090305,0.455350875,5.174488876
QY024,QY024,2030,209.2839037,9.303476667,1250,Calcareous,2.44508,6.695152,0.91,5.299603939,1.305510142,0.496447491,0,0.35511781,12.7021231,12.486187,0.84,0,BAU,0.050114733,0.079817612,0.230196508,1.473737398,2.414392382,0.45604407,5.171780104
QY024,QY024,2031,209.2839037,9.303476667,1250,Calcareous,2.45332,6.695064,0.91,5.299603939,1.305510142,0.496447491,0,0.357186522,12.7021231,12.486187,0.84,0,BAU,0.050195395,0.079933017,0.230529338,1.475868204,2.417883234,0.456778097,5.168915271
QY024,QY024,2032,209.2839037,9.303476667,1250,Calcareous,2.46144,6.694976,0.91,5.299603939,1.305510142,0.496447491,0,0.359254088,12.7021231,12.486187,0.84,0,BAU,0.05027833,0.080051553,0.230871201,1.478056839,2.421468829,0.4575328,5.165971933
QY024,QY024,2033,209.2839037,9.303476667,1250,Calcareous,2.46936,6.694888,0.91,5.299603939,1.305510142,0.496447491,0,0.361320477,12.7021231,12.486187,0.84,0,BAU,0.050365714,0.080176273,0.231230898,1.480359653,2.425241479,0.458327998,5.162873922
QY024,QY024,2034,209.2839037,9.303476667,1250,Calcareous,2.47716,6.6948,0.91,5.299603939,1.305510142,0.496447491,0,0.363385627,12.7021231,12.486187,0.84,0,BAU,0.050455344,0.080304085,0.23159951,1.482719536,2.429107626,0.459143629,5.159698407
QY024,QY024,2035,209.2839037,9.303476667,1250,Calcareous,2.4848,6.694712,0.91,5.299603939,1.305510142,0.496447491,0,0.365449506,12.7021231,12.486187,0.84,0,BAU,0.050548303,0.080436505,0.231981414,1.485164518,2.433113187,0.459989561,5.156407493
QY024,QY024,2036,209.2839037,9.303476667,1250,Calcareous,2.49228,6.694624,0.91,5.299603939,1.305510142,0.496447491,0,0.367512069,12.7021231,12.486187,0.84,0,BAU,0.050644582,0.080573516,0.232376558,1.487694264,2.437257615,0.460865695,5.153001614
QY024,QY024,2037,209.2839037,9.303476667,1250,Calcareous,2.49968,6.694624,0.91,5.299603939,1.305510142,0.496447491,0,0.36957327,12.7021231,12.486187,0.84,0,BAU,0.050735208,0.08070633,0.232759598,1.490146514,2.441275085,0.461690391,5.149724667
QY024,QY024,2038,209.2839037,9.303476667,1250,Calcareous,2.50688,6.694536,0.91,5.299603939,1.305510142,0.496447491,0,0.37163316,12.7021231,12.486187,0.84,0,BAU,0.050837011,0.080850967,0.233176735,1.492817064,2.445650189,0.462616804,5.146127705
QY024,QY024,2039,209.2839037,9.303476667,1250,Calcareous,2.514,6.694448,0.91,5.299603939,1.305510142,0.496447491,0,0.373691611,12.7021231,12.486187,0.84,0,BAU,0.05093994,0.080997116,0.233598235,1.495515543,2.450071049,0.463553458,5.142492571
QY024,QY024,2040,209.2839037,9.303476667,1250,Calcareous,2.52096,6.69436,0.91,5.299603939,1.305510142,0.496447491,0,0.375748608,12.7021231,12.486187,0.84,0,BAU,0.051046169,0.081147821,0.234032872,1.498298126,2.454629695,0.464520137,5.138743309
QY024,QY024,2041,209.2839037,9.303476667,1250,Calcareous,2.5278,6.694272,0.91,5.299603939,1.305510142,0.496447491,0,0.377804105,12.7021231,12.486187,0.84,0,BAU,0.051154607,0.081301553,0.23447624,1.501136603,2.459279911,0.465506924,5.134918045
QY024,QY024,2042,209.2839037,9.303476667,1250,Calcareous,2.53452,6.694272,0.91,5.299603939,1.305510142,0.496447491,0,0.379858072,12.7021231,12.486187,0.84,0,BAU,0.0512584,0.081452534,0.234911673,1.503924283,2.463846908,0.466451437,5.131185852
QY024,QY024,2043,209.2839037,9.303476667,1250,Calcareous,2.54116,6.694184,0.91,5.299603939,1.305510142,0.496447491,0,0.381910547,12.7021231,12.486187,0.84,0,BAU,0.051370169,0.081610802,0.235368125,1.506846523,2.468634352,0.467468542,5.127246507
QY024,QY024,2044,209.2839037,9.303476667,1250,Calcareous,2.54764,6.694096,0.91,5.299603939,1.305510142,0.496447491,0,0.383961445,12.7021231,12.486187,0.84,0,BAU,0.051485237,0.081773615,0.235837682,1.509852672,2.47355926,0.468515658,5.123193242
QY024,QY024,2045,209.2839037,9.303476667,1250,Calcareous,2.554,6.694008,0.91,5.299603939,1.305510142,0.496447491,0,0.386010722,12.7021231,12.486187,0.84,0,BAU,0.051602519,0.081939454,0.236315966,1.512914686,2.478575693,0.469582925,5.119063961
QY024,QY024,2046,209.2839037,9.303476667,1250,Calcareous,2.56024,6.694008,0.91,5.299603939,1.305510142,0.496447491,0,0.388058348,12.7021231,12.486187,0.84,0,BAU,0.051715102,0.082102497,0.236786189,1.515925089,2.483507571,0.470607426,5.115029057
QY024,QY024,2047,209.2839037,9.303476667,1250,Calcareous,2.5664,6.69392,0.91,5.299603939,1.305510142,0.496447491,0,0.39010436,12.7021231,12.486187,0.84,0,BAU,0.051835732,0.082272882,0.237277583,1.519071039,2.488661513,0.47170516,5.110785374
QY024,QY024,2048,209.2839037,9.303476667,1250,Calcareous,2.5724,6.693832,0.91,5.299603939,1.305510142,0.496447491,0,0.392148674,12.7021231,12.486187,0.84,0,BAU,0.051959671,0.082447817,0.237782101,1.522301001,2.49395309,0.472833006,5.106427565
QY024,QY024,2049,209.2839037,9.303476667,1250,Calcareous,2.57836,6.693744,0.91,5.299603939,1.305510142,0.496447491,0,0.394191245,12.7021231,12.486187,0.84,0,BAU,0.052083674,0.082622764,0.238286655,1.525531202,2.499245059,0.473961432,5.102068939
QY024,QY024,2050,209.2839037,9.303476667,1250,Calcareous,2.58416,6.693744,0.91,5.299603939,1.305510142,0.496447491,0,0.396232072,12.7021231,12.486187,0.84,0,BAU,0.052204015,0.082796402,0.238787431,1.528737213,2.504497399,0.475056541,5.097767818
QY031,QY031,2020,89.17338403,7.018336667,1250,Non-calcareous,2.24032,4.330416,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.458178488,11.00850668,10.82136207,0.84,0,BAU,2.717310747,0.878439072,2.533445956,14.05675615,23.02888222,24.7275278,-26.74352705
QY031,QY031,2021,89.17338403,7.018336667,1250,Non-calcareous,2.2476,4.220064,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.447481077,11.00850668,10.82136207,0.84,0,BAU,3.122595932,0.935907752,2.699187441,14.97636827,24.53546305,28.41562298,-31.35123436
QY031,QY031,2022,89.17338403,7.018336667,1250,Non-calcareous,2.2546,4.08912,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.434940583,11.00850668,10.82136207,0.84,0,BAU,3.684801548,1.00951486,2.911472659,16.15422705,26.46512384,33.53169408,-37.64516424
QY031,QY031,2023,89.17338403,7.018336667,1250,Non-calcareous,2.26136,3.951224,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.419882517,11.00850668,10.82136207,0.84,0,BAU,4.364374267,1.088338788,3.138803351,17.41556522,28.53154712,39.71580583,-45.09061416
QY031,QY031,2024,89.17338403,7.018336667,1250,Non-calcareous,2.26792,3.848352,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.401846272,11.00850668,10.82136207,0.84,0,BAU,4.858384343,1.131728928,3.263941881,18.10989296,29.66904937,44.21129752,-50.28043359
QY031,QY031,2025,89.17338403,7.018336667,1250,Non-calcareous,2.27428,3.795992,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.381734098,11.00850668,10.82136207,0.84,0,BAU,4.971092,1.122323948,3.236817624,17.95939476,29.42249139,45.2369372,-51.15557506
QY031,QY031,2026,89.17338403,7.018336667,1250,Non-calcareous,2.28048,3.773904,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.361271868,11.00850668,10.82136207,0.84,0,BAU,4.839504932,1.082533161,3.12205974,17.32266375,28.37934863,44.03949488,-49.32140174
QY031,QY031,2027,89.17338403,7.018336667,1250,Non-calcareous,2.28656,3.764664,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.341543308,11.00850668,10.82136207,0.84,0,BAU,4.615617731,1.032460485,2.977648563,16.52140226,27.0666591,42.00212136,-46.48276672
QY031,QY031,2028,89.17338403,7.018336667,1250,Non-calcareous,2.29248,3.760528,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.322950201,11.00850668,10.82136207,0.84,0,BAU,4.369334639,0.980913136,2.828984385,15.6965431,25.71531003,39.76094521,-43.41673142
QY031,QY031,2029,89.17338403,7.018336667,1250,Non-calcareous,2.29828,3.758416,0.91,5.714715481,1.15037538,1.440890661,3.734775373,0.305583508,11.00850668,10.82136207,0.84,0,BAU,4.126795228,0.931085674,2.685280417,14.89920553,24.40904898,37.55383657,-40.41228521
