"Year","scenario","soil_type","mean_pH","lower_pH","upper_pH","mean_soilCd","lower_soilCd","upper_soilCd","mean_riceCd","lower_riceCd","upper_riceCd"
2022,"BAU","Calcareous",6.67642022222222,6.614016,6.703864,0.368781195037265,0.193730961818584,0.666640281455224,0.0994814154659608,0.0230916692104344,0.279220518001384
2022,"BAU","Non-calcareous",5.38453694117647,4.08912,6.07968,0.303830760776808,0.172631166089935,0.442643998783491,0.339595670659368,0.0859044821879063,0.943550454407264
2022,"BNP","Calcareous",6.69854,6.685296,6.706416,0.368074713293192,0.193399359393807,0.662012385316083,0.0898303248030914,0.0209759872281115,0.253307012918894
2022,"BNP","Non-calcareous",5.41780611764706,4.300672,5.969856,0.303955710643528,0.172266970222914,0.445142441480501,0.321089849205129,0.0906350784717918,0.802896827091533
2022,"BNPL","Calcareous",6.69854,6.685296,6.706416,0.368074713293192,0.193399359393807,0.662012385316083,0.0898303248030914,0.0209759872281115,0.253307012918894
2022,"BNPL","Non-calcareous",5.91532756229412,5.5,6.444665276,0.307682996393668,0.172266970222914,0.45099003714904,0.185916504524539,0.0906350784717918,0.222204390118556
2022,"BNPR","Calcareous",6.70148555555556,6.687496,6.709232,0.369445270497479,0.195905695069806,0.662365779120012,0.0885088187513827,0.0208148778821365,0.249359477882955
2022,"BNPR","Non-calcareous",5.581072,4.428008,6.353888,0.306425708653377,0.173269854980297,0.446123017573764,0.282584432463296,0.0680954110260078,0.723133830666773
2022,"BNPRLopt","Calcareous",6.70148555555556,6.687496,6.709232,0.366698972779691,0.195779347335761,0.660888507157413,0.0876676525049431,0.0207894005441144,0.244536657440713
2022,"BNPRLopt","Non-calcareous",5.97456609235294,5.6366,6.444665276,0.306415936928124,0.173269854980297,0.448494912694147,0.176224548986904,0.0676943668515733,0.218855415817327
2023,"BAU","Calcareous",6.67619288888889,6.6134,6.703864,0.371157502425257,0.194942441687,0.67088737000601,0.100377656807462,0.0234605011617898,0.282889272488649
2023,"BAU","Non-calcareous",5.35965882352941,3.951224,6.080912,0.302615116645138,0.173387132408522,0.439028297889136,0.350889914625569,0.0865402321183279,1.01802287239713
2023,"BNP","Calcareous",6.69894333333333,6.686792,6.706504,0.370102331217486,0.194446707624786,0.663954837286289,0.0904036569441046,0.0212701152992076,0.256208400183506
2023,"BNP","Non-calcareous",5.40095670588235,4.210648,5.965632,0.302999988999726,0.172857450115784,0.443478812242519,0.326846873760847,0.0914119511327886,0.841293934267633
2023,"BNPL","Calcareous",6.69894333333333,6.686792,6.706504,0.370102331217486,0.194446707624786,0.663954837286289,0.0904036569441046,0.0212701152992076,0.256208400183506
2023,"BNPL","Non-calcareous",5.91314309170588,5.5,6.444665276,0.308736329330112,0.172857450115784,0.452236543095235,0.186719316922335,0.0914119511327886,0.224458672740657
2023,"BNPR","Calcareous",6.70196466666667,6.68952,6.709408,0.372162034217128,0.198207496159499,0.66448558498105,0.0888768675122739,0.0211194940506399,0.251492555323532
