"ID","Year","soil_type","Variable","Simulation","value","diff","outlier"
"QY163","2014","Non-calcareous","Soil Cd",0.358812195934823,0.506870474,0.148058278065177,0
"QY163","2019","Non-calcareous","pH",5.242008,4.921668539,0.320339461000001,0
"QY163","2019","Non-calcareous","SOC",2.194785752,1.808190337,0.386595415,0
"QY165","2014","Calcareous","SOC",2.210428609,1.949174184,0.261254425,0
"QY165","2014","Calcareous","Soil Cd",0.520932788902201,0.676636965,0.155704176097799,0
"QY165","2019","Calcareous","SOC",2.214678609,2.176720395,0.0379582140000001,0
"QY175","2014","Calcareous","SOC",1.883165487,1.484601088,0.398564399,0
"QY175","2014","Calcareous","Soil Cd",0.329517106213958,0.457637396,0.128120289786042,0
"QY175","2019","Calcareous","SOC",1.861151098,1.990190888,0.12903979,0
"QY175","2019","Calcareous","Soil Cd",0.344566761275562,0.47895826,0.134391498724438,0
"QY182","2014","Calcareous","SOC",1.337794104,1.319858856,0.0179352480000001,0
"QY182","2014","Calcareous","Soil Cd",0.351636006462532,0.2091201,0.142515906462532,0
"QY182","2019","Calcareous","SOC",1.326286751,1.393520856,0.067234105,0
"QY182","2019","Calcareous","Soil Cd",0.389237898797469,0.328045294,0.0611926047974689,0
"QY189","2014","Calcareous","SOC",1.624184436,1.346217613,0.277966823,0
"QY189","2014","Calcareous","Soil Cd",0.268174390431466,0.381387334,0.113212943568534,0
"QY189","2019","Calcareous","SOC",1.64932628,1.476034674,0.173291606,0
"QY193","2014","Calcareous","SOC",2.730615951,1.342922768,1.387693183,0
"QY193","2014","Calcareous","Soil Cd",0.339742926109475,0.533040644,0.193297717890525,0
"QY193","2019","Calcareous","SOC",2.727572473,2.732578407,0.00500593400000016,0
"QY193","2019","Calcareous","Soil Cd",0.351372794617456,0.5313913,0.180018505382544,0
"QY199","2014","Calcareous","SOC",1.468607168,1.058742417,0.409864751,0
"QY199","2014","Calcareous","Soil Cd",0.499841980391668,0.312429395,0.187412585391668,0
"QY199","2019","Calcareous","SOC",1.489142883,1.350899409,0.138243474,0
"QY199","2019","Calcareous","Soil Cd",0.553407364728795,0.324107086,0.229300278728795,0
"QY200","2014","Calcareous","SOC",1.373876816,1.770428862,0.396552046,0
"QY200","2014","Calcareous","Soil Cd",0.564706731993937,0.486830202,0.0778765299939366,0
"QY200","2019","Calcareous","SOC",1.357717396,1.45495658,0.097239184,0
"QY200","2019","Calcareous","Soil Cd",0.614606302342245,0.398781545,0.215824757342245,0
"QY207","2014","Non-calcareous","pH",5.573152,5.22,0.353152000000001,0
"QY207","2014","Non-calcareous","SOC",2.501811603,2.028250456,0.473561147,0
"QY207","2014","Non-calcareous","Soil Cd",0.239167022567153,0.27716801,0.0380009874328475,0
"QY207","2019","Non-calcareous","pH",5.477408,5.25,0.227408,0
"QY207","2019","Non-calcareous","SOC",2.536449284,2.291409708,0.245039576,0
"QY207","2019","Non-calcareous","Soil Cd",0.252855461850092,0.494442731,0.241587269149908,0
"QY208","2014","Calcareous","SOC",2.594782618,2.050490657,0.544291961,0
"QY208","2014","Calcareous","Soil Cd",0.519631620211387,0.454742975,0.064888645211387,0
"QY208","2019","Calcareous","SOC",2.566268125,2.678584634,0.112316509,0
"QY208","2019","Calcareous","Soil Cd",0.572668265228571,0.451102684,0.121565581228571,0
"QY222","2014","Non-calcareous","pH",5.618824,5.04,0.578824,0
"QY222","2014","Non-calcareous","SOC",1.671920296,1.490367067,0.181553229,0
"QY222","2014","Non-calcareous","Soil Cd",0.255476095158155,0.376357168,0.120881072841845,0
"QY222","2019","Non-calcareous","pH",5.549744,5.7,0.150256000000001,0
"QY222","2019","Non-calcareous","SOC",1.769927542,1.126564917,0.643362625,0
"QY222","2019","Non-calcareous","Soil Cd",0.265917597577643,0.268002133,0.00208453542235737,0
"QY231","2014","Calcareous","SOC",2.521170272,2.213585467,0.307584805,0
"QY231","2014","Calcareous","Soil Cd",0.269366912429968,0.385840805,0.116473892570032,0
"QY231","2019","Calcareous","SOC",2.52500006,2.483988314,0.0410117460000001,0
"QY231","2019","Calcareous","Soil Cd",0.282371522515081,0.368989901,0.0866183784849195,0
"QY233","2014","Calcareous","SOC",2.326547637,2.30748854,0.019059097,0
"QY233","2014","Calcareous","Soil Cd",0.266047229826348,0.355653722,0.0896064921736525,0
"QY233","2019","Calcareous","SOC",2.363095256,2.112986813,0.250108443,0
"QY233","2019","Calcareous","Soil Cd",0.280667297317613,0.48907421,0.208406912682387,0
"QY236","2014","Calcareous","SOC",1.848224644,1.834678333,0.013546311,0
"QY236","2014","Calcareous","Soil Cd",0.217782319423665,0.250715241,0.0329329215763353,0
"QY236","2019","Calcareous","SOC",1.823695658,1.972304593,0.148608935,0
"QY236","2019","Calcareous","Soil Cd",0.231133293275393,0.343423441,0.112290147724607,0
"QY242","2014","Calcareous","SOC",2.19432,1.212776405,0.981543595,0
"QY242","2014","Calcareous","Soil Cd",0.779705803634135,0.159117541,0.620588262634135,1
"QY242","2019","Calcareous","SOC",2.24072,1.929527086,0.311192914,0
"QY242","2019","Calcareous","Soil Cd",0.890127578811376,0.349306386,0.540821192811376,1
"QY243","2014","Calcareous","SOC",2.377173921,1.654285588,0.722888333,0
"QY243","2014","Calcareous","Soil Cd",0.923060397741292,0.228651365,0.694409032741292,1
"QY243","2019","Calcareous","SOC",2.397862327,2.25016855,0.147693777,0
"QY243","2019","Calcareous","Soil Cd",1.05210663130167,0.502547476,0.549559155301667,1
"QY246","2014","Calcareous","SOC",1.814609972,2.950806958,1.136196986,0
"QY246","2014","Calcareous","Soil Cd",0.462042612086634,0.813780858,0.351738245913366,0
"QY246","2019","Calcareous","SOC",1.799148979,1.885437261,0.0862882820000002,0
"QY246","2019","Calcareous","Soil Cd",0.471263847720896,0.660798657,0.189534809279103,0
"QY248","2014","Calcareous","SOC",1.782282615,2.15839682,0.376114205,0
"QY248","2014","Calcareous","Soil Cd",0.181534657709939,0.242459912,0.0609252542900606,0
"QY248","2019","Calcareous","SOC",1.817536238,1.582148637,0.235387601,0
"QY248","2019","Calcareous","Soil Cd",0.190086012659685,0.309832443,0.119746430340315,0
"QY264","2014","Non-calcareous","pH",5.974344,6.3,0.325656,0
"QY264","2014","Non-calcareous","SOC",2.23244,2.332199875,0.0997598750000002,0
"QY264","2014","Non-calcareous","Soil Cd",0.397651016406269,0.563199681,0.165548664593731,0
"QY264","2019","Non-calcareous","pH",5.953048,5.678848315,0.274199685,0
"QY264","2019","Non-calcareous","SOC",2.15588,2.621828128,0.465948128,0
"QY267","2014","Calcareous","SOC",2.093333341,1.369281526,0.724051815,0
"QY267","2019","Calcareous","SOC",2.11967392,1.938753257,0.180920663,0
"QY267","2019","Calcareous","Soil Cd",0.291362742723545,0.528451455,0.237088712276455,0
"QY270","2014","Calcareous","SOC",2.500507255,2.98046056,0.479953305,0
"QY270","2014","Calcareous","Soil Cd",0.480268649897701,0.832313107,0.352044457102299,0
"QY270","2019","Calcareous","SOC",2.428188414,2.876902723,0.448714309,0
"QY270","2019","Calcareous","Soil Cd",0.490573617201264,0.818591335,0.328017717798736,0
"QY274","2014","Calcareous","SOC",2.019637688,1.251490829,0.768146859,0
"QY274","2014","Calcareous","Soil Cd",0.211068015728016,0.240672535,0.029604519271984,0
"QY274","2019","Calcareous","SOC",2.036775369,1.9146054,0.122169969,0
"QY274","2019","Calcareous","Soil Cd",0.225731259462354,0.462418026,0.236686766537646,0
"QY278","2014","Calcareous","SOC",2.529172688,2.104031883,0.425140805,0
"QY278","2019","Calcareous","SOC",2.554784199,2.35667793,0.198106269,0
"QY284","2014","Calcareous","SOC",2.805942039,1.758073194,1.047868845,0
