"ID","scenario","Cd_input_g_ha_yr","source"
"QY040","BNPRLopt2",0,"deposition"
"QY049","BAU",5.395667553,"deposition"
"QY049","BNP",5.395667553,"deposition"
"QY049","BNPR",5.395667553,"deposition"
"QY049","BNPRLopt1",4.71397069537281,"deposition"
"QY049","BNPRLopt2",1.59227069537281,"deposition"
"QY065","BAU",4.194610119,"deposition"
"QY065","BNP",4.194610119,"deposition"
"QY065","BNPR",4.194610119,"deposition"
"QY065","BNPRLopt1",4.194610119,"deposition"
"QY065","BNPRLopt2",0.979341512300273,"deposition"
"QY070","BAU",4.520544529,"deposition"
"QY070","BNP",4.520544529,"deposition"
"QY070","BNPR",4.520544529,"deposition"
"QY070","BNPRLopt1",3.90371995934574,"deposition"
"QY070","BNPRLopt2",2.45141226703805,"deposition"
"QY073","BAU",5.147699833,"deposition"
"QY073","BNP",5.147699833,"deposition"
"QY073","BNPR",5.147699833,"deposition"
"QY073","BNPRLopt1",2.51820718862185,"deposition"
"QY073","BNPRLopt2",2.51820718862185,"deposition"
"QY076","BAU",4.377658367,"deposition"
"QY076","BNP",4.377658367,"deposition"
"QY076","BNPR",4.377658367,"deposition"
"QY076","BNPRLopt1",3.45035918987349,"deposition"
"QY076","BNPRLopt2",1.62445918987349,"deposition"
"QY077","BAU",4.514650345,"deposition"
"QY077","BNP",4.514650345,"deposition"
"QY077","BNPR",4.514650345,"deposition"
"QY077","BNPRLopt1",1.77883372970255,"deposition"
"QY077","BNPRLopt2",1.77883372970255,"deposition"
"QY079","BAU",5.467858791,"deposition"
"QY079","BNP",5.467858791,"deposition"
"QY079","BNPR",5.467858791,"deposition"
"QY079","BNPRLopt1",3.79388111912954,"deposition"
"QY079","BNPRLopt2",3.79388111912954,"deposition"
"QY081","BAU",5.519124508,"deposition"
"QY081","BNP",5.519124508,"deposition"
"QY081","BNPR",5.519124508,"deposition"
"QY081","BNPRLopt1",5.519124508,"deposition"
"QY081","BNPRLopt2",5.519124508,"deposition"
"QY085","BAU",5.601294994,"deposition"
"QY085","BNP",5.601294994,"deposition"
"QY085","BNPR",5.601294994,"deposition"
"QY085","BNPRLopt1",1.82668253470087,"deposition"
"QY085","BNPRLopt2",0.338682534700865,"deposition"
"QY087","BAU",5.524769306,"deposition"
"QY087","BNP",5.524769306,"deposition"
"QY087","BNPR",5.524769306,"deposition"
"QY087","BNPRLopt1",3.6602343646648,"deposition"
"QY087","BNPRLopt2",1.76473546553871,"deposition"
"QY090","BAU",4.968757629,"deposition"
"QY090","BNP",4.968757629,"deposition"
"QY090","BNPR",4.968757629,"deposition"
"QY090","BNPRLopt1",3.73349199592169,"deposition"
"QY090","BNPRLopt2",2.31989199592168,"deposition"
"QY094","BAU",4.391344547,"deposition"
"QY094","BNP",4.391344547,"deposition"
"QY094","BNPR",4.391344547,"deposition"
"QY094","BNPRLopt1",4.391344547,"deposition"
"QY094","BNPRLopt2",3.69136305307783,"deposition"
"QY095","BAU",4.647268295,"deposition"
"QY095","BNP",4.647268295,"deposition"
"QY095","BNPR",4.647268295,"deposition"
"QY095","BNPRLopt1",2.81213796738828,"deposition"
"QY095","BNPRLopt2",2.61338796738828,"deposition"
"QY101","BAU",6.180166245,"deposition"
"QY101","BNP",6.180166245,"deposition"
"QY101","BNPR",6.180166245,"deposition"
"QY101","BNPRLopt1",2.32851599663819,"deposition"
"QY101","BNPRLopt2",1.58451599663819,"deposition"
"QY106","BAU",4.972505093,"deposition"
"QY106","BNP",4.972505093,"deposition"
"QY106","BNPR",4.972505093,"deposition"
"QY106","BNPRLopt1",1.63291674150869,"deposition"
"QY106","BNPRLopt2",0,"deposition"
"QY107","BAU",5.185857296,"deposition"
"QY107","BNP",5.185857296,"deposition"
"QY107","BNPR",5.185857296,"deposition"
"QY107","BNPRLopt1",0.738042030590872,"deposition"
"QY107","BNPRLopt2",0,"deposition"
"QY110","BAU",5.305033207,"deposition"
"QY110","BNP",5.305033207,"deposition"
"QY110","BNPR",5.305033207,"deposition"
"QY110","BNPRLopt1",2.76541586096426,"deposition"
"QY110","BNPRLopt2",0,"deposition"
"QY154","BAU",5.672376156,"deposition"
"QY154","BNP",5.672376156,"deposition"
"QY154","BNPR",5.672376156,"deposition"
"QY154","BNPRLopt1",2.20789340506887,"deposition"
"QY154","BNPRLopt2",1.56936729286326,"deposition"
"QY163","BAU",9.818370819,"deposition"
"QY163","BNP",9.818370819,"deposition"
"QY163","BNPR",9.818370819,"deposition"
"QY163","BNPRLopt1",3.67029170765621,"deposition"
"QY163","BNPRLopt2",0,"deposition"
"QY165","BAU",10.394557,"deposition"
"QY165","BNP",10.394557,"deposition"
"QY165","BNPR",10.394557,"deposition"
"QY165","BNPRLopt1",2.23772826217696,"deposition"
"QY165","BNPRLopt2",0,"deposition"
"QY175","BAU",4.827932835,"deposition"
"QY175","BNP",4.827932835,"deposition"
"QY175","BNPR",4.827932835,"deposition"
"QY175","BNPRLopt1",4.16229091096986,"deposition"
"QY175","BNPRLopt2",2.27749091096986,"deposition"
"QY182","BAU",12.69538975,"deposition"
"QY182","BNP",12.69538975,"deposition"
"QY182","BNPR",12.69538975,"deposition"
"QY182","BNPRLopt1",1.20446622490772,"deposition"
"QY182","BNPRLopt2",0,"deposition"
"QY189","BAU",3.231766701,"deposition"
"QY189","BNP",3.231766701,"deposition"
"QY189","BNPR",3.231766701,"deposition"
"QY189","BNPRLopt1",3.231766701,"deposition"
"QY189","BNPRLopt2",3.231766701,"deposition"
"QY193","BAU",3.534766912,"deposition"
"QY193","BNP",3.534766912,"deposition"
"QY193","BNPR",3.534766912,"deposition"
"QY193","BNPRLopt1",3.534766912,"deposition"
"QY193","BNPRLopt2",1.11131908781611,"deposition"
"QY199","BAU",19.24587631,"deposition"
"QY199","BNP",19.24587631,"deposition"
"QY199","BNPR",19.24587631,"deposition"
"QY199","BNPRLopt1",1.32607223453594,"deposition"
"QY199","BNPRLopt2",0,"deposition"
"QY200","BAU",17.8643055,"deposition"
"QY200","BNP",17.8643055,"deposition"
"QY200","BNPR",17.8643055,"deposition"
"QY200","BNPRLopt1",1.10944514029429,"deposition"
"QY200","BNPRLopt2",0,"deposition"
"QY207","BAU",4.148550987,"deposition"
"QY207","BNP",4.148550987,"deposition"
"QY207","BNPR",4.148550987,"deposition"
"QY207","BNPRLopt1",4.148550987,"deposition"
"QY207","BNPRLopt2",4.06511976321251,"deposition"
"QY208","BAU",2.685848951,"deposition"
"QY208","BNP",2.685848951,"deposition"
"QY208","BNPR",2.685848951,"deposition"
"QY208","BNPRLopt1",1.93116560560225,"deposition"
"QY208","BNPRLopt2",1.93116560560225,"deposition"
"QY222","BAU",4.167097569,"deposition"
"QY222","BNP",4.167097569,"deposition"
"QY222","BNPR",4.167097569,"deposition"
"QY222","BNPRLopt1",4.167097569,"deposition"
"QY222","BNPRLopt2",4.05228741328385,"deposition"
"QY231","BAU",2.809998035,"deposition"
"QY231","BNP",2.809998035,"deposition"
"QY231","BNPR",2.809998035,"deposition"
"QY231","BNPRLopt1",2.809998035,"deposition"
"QY231","BNPRLopt2",1.01413633342324,"deposition"
"QY233","BAU",2.873369217,"deposition"
"QY233","BNP",2.873369217,"deposition"
"QY233","BNPR",2.873369217,"deposition"
"QY233","BNPRLopt1",2.873369217,"deposition"
"QY233","BNPRLopt2",2.873369217,"deposition"
"QY236","BAU",4.041529655,"deposition"
"QY236","BNP",4.041529655,"deposition"
"QY236","BNPR",4.041529655,"deposition"
