"ID","clay","SOC","pH","Cd_solu","lea","soc_level","clay_level"
"QY024",9.303476667,2.47716,6.6948,0.0493927876619143,0.44947436772342,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.4848,6.694712,0.049491940517987,0.450376658713682,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.49228,6.694624,0.0495942650710491,0.451307812146546,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.49968,6.694624,0.0496909778121566,0.452187898090625,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.50688,6.694536,0.0497985638995887,0.453166931486257,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.514,6.694448,0.0499071813873183,0.454155350624596,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.52096,6.69436,0.0500189622168895,0.455172556173695,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.5278,6.694272,0.0501328413391201,0.456208856185993,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.53452,6.694272,0.0502421016279968,0.457203124814771,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.54116,6.694184,0.0503591163406213,0.458267958699654,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.54764,6.694096,0.0504793025228248,0.459361652957706,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.554,6.694008,0.0506015998375548,0.460474558521748,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.56024,6.694008,0.050719229765449,0.461544990865586,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.5664,6.69392,0.0508446947274804,0.462686722020072,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.5724,6.693832,0.0509733504791723,0.463857489360468,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.57836,6.693744,0.0511020150108128,0.465028336598396,"High (>2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.58416,6.693744,0.0512270342424555,0.466166011606345,"High (>2.5%)","Sandy (<18%)"
"QY031",13.6593675,1.98116,5.953664,0.13629058796296,2.00347164305551,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",13.46404306,1.97092,5.851848,0.163558026577682,2.42065879334969,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",13.26871863,1.96348,5.765168,0.191134153095183,2.9243525423563,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",13.07339419,1.96292,5.722928,0.207926351933892,2.49511622320671,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",12.87806975,1.95632,5.673648,0.229834346844618,2.75801216213542,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",12.68274532,1.95216,5.619264,0.255334410103692,3.75341582852428,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",12.48742088,1.94884,5.567696,0.28173892323607,4.16973606389383,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",12.29209645,1.9464,5.5134,0.311605737174918,4.76756777877625,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",12.09677201,1.94396,5.493248,0.326535925845166,3.918431110142,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",11.90144757,1.94112,5.523872,0.317986222448289,6.20073133774163,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",11.70612314,1.93776,5.396184,0.393219539857092,3.49965390472812,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",11.5107987,1.94584,5.433672,0.376870694953402,5.53999921581501,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",11.31547426,1.95888,5.450744,0.371063546399731,7.34705821871468,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",11.12014983,1.96944,5.337576,0.445988273785957,5.93164404135323,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",10.92482539,1.98096,5.313112,0.46945621392779,4.6945621392779,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",10.72950096,2.00884,5.31848,0.468757109033053,6.60947523736604,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",10.53417652,2.03932,5.259168,0.514904796622912,5.86991468150119,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",10.33885208,2.04616,5.335024,0.468579196071613,9.79330519789672,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",10.14352765,2.05144,5.114144,0.667353033868289,5.67250078788046,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",9.948203211,2.06032,5.155944,0.63831690366358,8.3619514379929,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",9.752878774,2.07212,5.115728,0.68863327031218,9.02109584108956,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",9.557554338,2.085,5.125232,0.689047197668958,10.6802315638688,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",9.362229902,2.0988,5.049024,0.785190830073358,9.26525179486563,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",9.166905466,2.10796,5.012064,0.8471004319907,9.40281479509678,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",8.971581029,2.11156,4.949936,0.948855839593141,9.01413047613484,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",8.776256593,2.12472,4.931016,0.990525182950768,9.01377916485199,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",8.580932157,2.13812,4.81732,1.19484529734501,7.16907178407005,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",8.385607721,2.15284,4.842048,1.16585093210122,11.425339134592,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",8.190283284,2.16724,4.66508,1.53771029499442,6.61215426847601,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.994958848,2.16884,4.77464,1.32511935600946,15.3713845297097,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.799634412,2.18112,4.688928,1.51288832411062,14.0698614142288,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.604309975,2.1938,4.674672,1.54601704408012,19.1706113465935,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.408985539,2.20336,4.584032,1.76688342843228,16.7853925701067,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.213661103,2.2102,4.508264,1.97699199625095,18.3860255651339,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.24,4.42352,2.20284481213946,20.0458877904691,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.24032,4.330416,2.51505775592194,22.8870255788897,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.2476,4.220064,2.89259845041479,26.3226458987746,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.2546,4.08912,3.41631229723802,31.088441904866,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.26136,3.951224,4.04992739490156,36.8543392936042,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.26792,3.848352,4.51246606347401,41.0634411776135,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.27428,3.795992,4.62156401782532,42.0562325622104,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.28048,3.773904,4.50372977339018,40.9839409378507,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.28656,3.764664,4.29986226095333,39.1287465746753,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.29248,3.760528,4.07485681782096,37.0811970421707,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.29828,3.758416,3.8530191802559,35.0624745403287,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.30396,3.757096,3.64279019689177,33.1493907917151,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.30952,3.756128,3.44625475369787,31.3609182586506,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.315,3.755248,3.26385469121051,29.7010776900157,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.32036,3.754544,3.0942184784894,28.1573881542535,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.3256,3.753752,2.93764186213774,26.7325409454534,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.33076,3.753136,2.79186861722283,25.4060044167277,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.33584,3.752432,2.65723218495264,24.1808128830691,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.3408,3.751816,2.5322115323131,23.0431249440492,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.34568,3.751288,2.41605003419558,21.9860553111798,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.35048,3.750672,2.30872661236455,21.0094121725174,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.3552,3.750144,2.20894079474315,20.1013612321626,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.35984,3.749616,2.11643702623409,19.2595769387302,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.36436,3.749176,2.03043810656998,18.4769867697869,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.36884,3.748736,1.9506480833675,17.7508975586443,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.3732,3.748296,1.87668830763996,17.0778635995236,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.37752,3.747856,1.8080344206263,16.4531132276993,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.38172,3.747416,1.74437205086615,15.8737856628819,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.38588,3.747064,1.68502389120198,15.333717409938,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.38996,3.746712,1.62994626625714,14.83251102294,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.39396,3.74636,1.57882168563694,14.3672773392962,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY031",7.018336667,2.39788,3.746096,1.53115261862622,13.9334888294986,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY040",12.94224942,1.314680882,6.710904,0.0363461890371238,0.53428897884572,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",12.75717954,1.300886556,6.709848,0.0380200161254223,0.562696238656251,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",12.57210965,1.291099321,6.71064,0.0394528325746409,0.603628338392006,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",12.38703977,1.285531945,6.706416,0.041057310685782,0.492687728229384,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",12.20196988,1.276453931,6.705624,0.0426430752737781,0.511716903285338,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",12.0169,1.26929081,6.708352,0.0439359097311745,0.645857873048265,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",11.83183011,1.26287237,6.706064,0.0455402224330977,0.673995292009846,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",11.64676023,1.257446838,6.706944,0.0470508676091728,0.719878274420343,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",11.46169034,1.252198611,6.703424,0.0490314009454892,0.58837681134587,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",11.27662046,1.246170242,6.70976,0.0505050967550039,0.984849386722575,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",11.09155057,1.240070951,6.705712,0.0529129364977327,0.470925134829821,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",10.90648069,1.240992937,6.705712,0.0548433133991333,0.80619670696726,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",10.7214108,1.244680881,6.708352,0.0564966430641895,1.11863353267095,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",10.53634092,1.24645393,6.712752,0.058200404246411,0.774065376477266,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",10.35127103,1.248758895,6.707736,0.060898156810873,0.60898156810873,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",10.16620115,1.260922016,6.70536,0.0628847896790636,0.886675534474797,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",9.981131264,1.274751803,6.706856,0.0644719766024619,0.734980533268066,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",9.796061379,1.273971661,6.712224,0.0668023834412882,1.39616981392292,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",9.610991494,1.272624144,6.701136,0.0709688814707599,0.603235492501459,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",9.425921609,1.273617051,6.710552,0.073024982924075,0.956627276305382,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",9.240851724,1.276241165,6.704304,0.0767815812390897,1.00583871423208,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",9.055781839,1.279432654,6.711696,0.0790603897459954,1.22543604106293,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",8.870711954,1.283120598,6.71196,0.0822632962462101,0.97070689570528,"Low (0.5~1.5%)","Sandy (<18%)"
"QY040",8.685642069,1.284007123,6.708264,0.0864053855143948,0.959099779209783,"Low (0.5~1.5%)","Sandy (<18%)"
