Data to derive cadmium regression model.,,,,,,,,,,
Unit:,,,,mg/kg,mg/kg,mg/kg,mg/L,g/kg,%,
X,Y,land_use,pH,SoilCdtot,RiceCd,StrawCd,SoilCdavi,OC,Clay,source
111.9988889,26.33166667,Paddy,7.2,0.3213874,0.044,0.082,0.00219,19.165,23.382,mea_clay
111.7758333,26.65861111,Paddy,7.25,0.3097609,0.03,0.117,0.00161,15.8215,23.187,mea_clay
111.9983333,26.41444444,Paddy,5.17,0.4043231,NA,NA,0.07479,12.795,22.225,mea_clay
111.7086111,26.73527778,Paddy,6.4,0.4624556,0.158,0.546,0.01103,19.146,21.993,mea_clay
111.8111111,26.62722222,Paddy,6.85,0.488809,0.069,0.161,0.01329,21.13,20.964,mea_clay
111.7355556,26.64777778,Paddy,7.85,0.6608812,NA,NA,0.001,18.8545,20.345,mea_clay
112.0583333,26.45666667,Paddy,6.65,0.3764195,0.119,0.618,0.00566,11.06,20.173,mea_clay
111.7208333,26.76166667,Paddy,5.2,0.5701945,NA,NA,0.09351,31.3025,18.189,mea_clay
111.6533333,26.77916667,Paddy,7.35,0.4833833,0.095,0.145,0.00105,24.9595,18.061,mea_clay
111.7511111,26.76666667,Paddy,6.9,0.3694436,0.053,0.121,1.00E-04,27.0615,17.935,mea_clay
111.73,26.77416667,Paddy,5.54,0.3624677,NA,NA,0.065,15.364,17.763,mea_clay
111.6991667,26.8375,Paddy,6.98,0.3632428,0.061,0.085,0.00224,25.5545,17.512,mea_clay
111.9130556,26.52888889,Paddy,7.38,0.4787327,0.036,0.077,0.0027,19.902,17.459,mea_clay
112.0258333,26.33666667,Paddy,6.11,0.3787448,0.261,0.536,0.03944,14.469,16.891,mea_clay
112.1519444,26.32694444,Paddy,6.07,0.3996725,NA,NA,0.02205,8.0005,16.28735833,mea_clay
112.1041667,26.43444444,Paddy,7.21,0.6345278,NA,NA,0.00598,30.3885,15.968,mea_clay
111.8069444,26.69638889,Paddy,7.22,0.6849093,0.649,0.109,0.00272,21.4695,15.518,mea_clay
112.0222222,26.40583333,Paddy,6.38,0.349291,NA,NA,0.09799,12.7425,15.473,mea_clay
111.75,26.6325,Paddy,5.3,0.36905605,NA,NA,0.124155,10.475,14.92814333,mea_clay
112.0338889,26.45611111,Paddy,5.4,0.2268252,0.537,1.062,0.1826,6.3505,14.668,mea_clay
111.7805556,26.48305556,Paddy,4.6,0.4120741,NA,NA,0.12234,14.666,13.96146333,mea_clay
111.8961111,26.61777778,Paddy,6.54,0.2679055,0.676,0.701,0.04652,11.2655,13.689,mea_clay
112.0008333,26.37,Paddy,6.7,0.4159496,0.236,1.097,0.00404,18.9195,13.021,mea_clay
111.8886111,26.35472222,Paddy,6.7,0.4275761,0.536,0.741,0.00042,26.2825,12.876,mea_clay
111.9763889,26.33472222,Paddy,6.96,0.5019857,0.08,0.175,0.00337,19.4905,11.77,mea_clay
111.9113889,26.57805556,Paddy,6.3,0.4942347,0.99,7.077,0.09657,22.914,11.73,mea_clay
111.9466667,26.45805556,Paddy,6.22,0.3306886,,,0.04684,11.02,11.09240667,mea_clay
111.7783333,26.60472222,Paddy,6.84,0.4143994,0.018,0.041,0.00496,22.011,10.859,mea_clay
112.1341667,26.33944444,Paddy,4.35,0.5035359,2.63,9.913,0.34992,14.694,10.787,mea_clay
111.7033333,26.76805556,Paddy,7.35,0.3779697,0.05,0.045,0.00212,31.056,10.714,mea_clay
111.8938889,26.39138889,Paddy,6.46,0.4469536,0.619,1.43,0.01228,16.903,10.212,mea_clay
111.8055556,26.53555556,Paddy,7.2,0.5097367,0.074,NA,0.00075,22.4235,9.796,mea_clay
112.0511111,26.6375,Paddy,5.22,0.349291,0.413,0.8,0.10412,19.2955,9.65,mea_clay
111.915,26.465,Paddy,7.1,0.3857207,NA,NA,0.00438,17.247,9.303,mea_clay
112.1225,26.55388889,Paddy,5.02,0.3988974,0.777,2.821,0.15277,14.5495,9.152,mea_clay
111.9413889,26.57361111,Paddy,5.25,0.4508291,0.075,0.058,0.00149,26.786,7.798,mea_clay
112.1130556,26.53055556,Paddy,4.75,0.3283633,NA,NA,0.24395,13.935,7.774,mea_clay
