site,ID,Year,dep,irr,CEC,clay,bulkdens,soil_type,SOC,pH,PS,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario
QY024,QY024,2028,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.42804,6.69524,0.91,0.496447491,0,0.342195261,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2029,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.43664,6.69524,0.91,0.496447491,0,0.344256972,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2030,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.44508,6.695152,0.91,0.496447491,0,0.346317588,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2031,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.45332,6.695064,0.91,0.496447491,0,0.348376996,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2032,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.46144,6.694976,0.91,0.496447491,0,0.350435135,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2033,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.46936,6.694888,0.91,0.496447491,0,0.352491974,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2034,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.47716,6.6948,0.91,0.496447491,0,0.354547453,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2035,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.4848,6.694712,0.91,0.496447491,0,0.35660154,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2036,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.49228,6.694624,0.91,0.496447491,0,0.35865419,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2037,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.49968,6.694624,0.91,0.496447491,0,0.360705358,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2038,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.50688,6.694536,0.91,0.496447491,0,0.362755097,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2039,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.514,6.694448,0.91,0.496447491,0,0.364803277,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2040,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.52096,6.69436,0.91,0.496447491,0,0.366849886,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2041,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.5278,6.694272,0.91,0.496447491,0,0.368894879,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2042,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.53452,6.694272,0.91,0.496447491,0,0.370938224,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2043,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.54116,6.694184,0.91,0.496447491,0,0.37297996,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2044,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.54764,6.694096,0.91,0.496447491,0,0.375020006,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2045,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.554,6.694008,0.91,0.496447491,0,0.377058315,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2046,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.56024,6.694008,0.91,0.496447491,0,0.379094858,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2047,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.5664,6.69392,0.91,0.496447491,0,0.381129673,12.7021231,12.486187,0.84,0,BAU
