"ID","scenario","soil_type","variable","value"
"QY073","BNPRLopt(dep)","Non-calcareous","irrigation",1.292894912
"QY073","BAU","Non-calcareous","fertilizer",2.198314476
"QY073","BNP","Non-calcareous","fertilizer",0.935862239
"QY073","BNPR","Non-calcareous","fertilizer",0.92544137
"QY073","BNPL","Non-calcareous","fertilizer",0.935862239
"QY073","BNPRLopt","Non-calcareous","fertilizer",0.92544137
"QY073","BNPRLopt(dep)","Non-calcareous","fertilizer",0.92544137
"QY073","BAU","Non-calcareous","total input",8.638909221
"QY073","BNP","Non-calcareous","total input",7.376456984
"QY073","BNPR","Non-calcareous","total input",7.366036115
"QY073","BNPL","Non-calcareous","total input",7.376456984
"QY073","BNPRLopt","Non-calcareous","total input",4.736543471
"QY073","BNPRLopt(dep)","Non-calcareous","total input",4.736543471
"QY073","Critical input","Non-calcareous","total input",5.09974038047146
"QY073","Critical input","Non-calcareous","critical input",5.09974038047146
"QY076","BAU","Calcareous","deposition",4.377658367
"QY076","BNP","Calcareous","deposition",4.377658367
"QY076","BNPR","Calcareous","deposition",4.377658367
"QY076","BNPL","Calcareous","deposition",4.377658367
"QY076","BNPRLopt","Calcareous","deposition",3.45035919
"QY076","BNPRLopt(dep)","Calcareous","deposition",1.62445919
"QY076","BAU","Calcareous","manure",0
"QY076","BNP","Calcareous","manure",0
"QY076","BNPR","Calcareous","manure",1.8259
"QY076","BNPL","Calcareous","manure",0
"QY076","BNPRLopt","Calcareous","manure",0
"QY076","BNPRLopt(dep)","Calcareous","manure",1.8259
"QY076","BAU","Calcareous","irrigation",1.323598055
"QY076","BNP","Calcareous","irrigation",1.323598055
"QY076","BNPR","Calcareous","irrigation",1.323598055
"QY076","BNPL","Calcareous","irrigation",1.323598055
"QY076","BNPRLopt","Calcareous","irrigation",1.323598055
"QY076","BNPRLopt(dep)","Calcareous","irrigation",1.323598055
"QY076","BAU","Calcareous","fertilizer",0.797121051
"QY076","BNP","Calcareous","fertilizer",0.516179509
"QY076","BNPR","Calcareous","fertilizer",0.365074134
"QY076","BNPL","Calcareous","fertilizer",0.516179509
"QY076","BNPRLopt","Calcareous","fertilizer",0.365074134
"QY076","BNPRLopt(dep)","Calcareous","fertilizer",0.365074134
"QY076","BAU","Calcareous","total input",6.498377473
"QY076","BNP","Calcareous","total input",6.217435931
